epoch:51	train_MAE:23.129767488365328	test_MAE:24.260660381217278	test_MadAE:15.671981811523438	test_MRE:0.6256009340286255	test_RMSE:32.26539993286133	test_R^2:0.5064196586608887
epoch:52	train_MAE:22.937425010907504	test_MAE:24.04083923020288	test_MadAE:14.659664154052734	test_MRE:0.6074740290641785	test_RMSE:32.256935119628906	test_R^2:0.5066782236099243
epoch:53	train_MAE:23.59465441390343	test_MAE:24.161638988874344	test_MadAE:15.018346786499023	test_MRE:0.5442675352096558	test_RMSE:32.41054153442383	test_R^2:0.5019691586494446
epoch:54	train_MAE:22.708524214659686	test_MAE:23.694072623527486	test_MadAE:14.41546630859375	test_MRE:0.5879730582237244	test_RMSE:31.9592227935791	test_R^2:0.5157427191734314
epoch:55	train_MAE:22.712487274578244	test_MAE:23.58688849803665	test_MadAE:15.10252571105957	test_MRE:0.5717700123786926	test_RMSE:31.710647583007812	test_R^2:0.5232465267181396
epoch:56	train_MAE:22.58944835296684	test_MAE:23.87088156495419	test_MadAE:15.918635368347168	test_MRE:0.606417179107666	test_RMSE:31.849138259887695	test_R^2:0.5190730094909668
epoch:57	train_MAE:22.527268760907504	test_MAE:23.795287446825917	test_MadAE:15.252864837646484	test_MRE:0.5737679600715637	test_RMSE:32.14140701293945	test_R^2:0.5102059245109558
epoch:58	train_MAE:22.268595022542176	test_MAE:23.444031720386125	test_MadAE:16.037994384765625	test_MRE:0.5974423289299011	test_RMSE:31.28076934814453	test_R^2:0.536084771156311
epoch:59	train_MAE:22.134555428301336	test_MAE:23.281068492310208	test_MadAE:14.72583293914795	test_MRE:0.563293993473053	test_RMSE:31.534923553466797	test_R^2:0.5285154581069946
epoch:60	train_MAE:22.402545993310063	test_MAE:23.17960058082461	test_MadAE:14.022342681884766	test_MRE:0.539928674697876	test_RMSE:31.49262046813965	test_R^2:0.5297797918319702
epoch:61	train_MAE:22.30634407722513	test_MAE:22.99718023969241	test_MadAE:14.29310417175293	test_MRE:0.55286705493927	test_RMSE:31.192556381225586	test_R^2:0.5386974811553955
epoch:62	train_MAE:22.10288049011053	test_MAE:23.603272762598166	test_MadAE:15.715805053710938	test_MRE:0.5886330604553223	test_RMSE:31.602304458618164	test_R^2:0.5264986157417297
epoch:63	train_MAE:21.855273323880162	test_MAE:23.237396719568064	test_MadAE:16.245975494384766	test_MRE:0.5980902910232544	test_RMSE:31.131576538085938	test_R^2:0.5404995679855347
epoch:64	train_MAE:21.73266161285631	test_MAE:22.85740142342932	test_MadAE:14.933174133300781	test_MRE:0.5639357566833496	test_RMSE:31.12544059753418	test_R^2:0.5406807661056519
epoch:65	train_MAE:22.65901323443863	test_MAE:24.069691283540575	test_MadAE:16.677528381347656	test_MRE:0.6707139611244202	test_RMSE:31.687118530273438	test_R^2:0.5239536762237549
epoch:66	train_MAE:22.129049410994764	test_MAE:23.394091541230367	test_MadAE:16.289411544799805	test_MRE:0.5905904173851013	test_RMSE:31.12225914001465	test_R^2:0.5407745242118835
epoch:67	train_MAE:21.68852257853403	test_MAE:22.96203421547775	test_MadAE:14.071508407592773	test_MRE:0.559044599533081	test_RMSE:31.284442901611328	test_R^2:0.5359758138656616
epoch:68	train_MAE:25.398548847440374	test_MAE:25.129266708933248	test_MadAE:17.693424224853516	test_MRE:0.48589572310447693	test_RMSE:34.01537322998047	test_R^2:0.4514274001121521
epoch:69	train_MAE:21.638311700116347	test_MAE:22.684774828206805	test_MadAE:14.593950271606445	test_MRE:0.5875636339187622	test_RMSE:30.49146270751953	test_R^2:0.5592013597488403
epoch:70	train_MAE:22.147226312536358	test_MAE:24.021870398396597	test_MadAE:16.022974014282227	test_MRE:0.6533815264701843	test_RMSE:31.277372360229492	test_R^2:0.5361855626106262
epoch:71	train_MAE:21.50126118019197	test_MAE:22.400076182100786	test_MadAE:14.531681060791016	test_MRE:0.546382486820221	test_RMSE:30.488887786865234	test_R^2:0.55927574634552
epoch:72	train_MAE:21.302103784904013	test_MAE:22.932417784685864	test_MadAE:15.238205909729004	test_MRE:0.5901347994804382	test_RMSE:30.865270614624023	test_R^2:0.548326849937439
epoch:73	train_MAE:21.42888307155323	test_MAE:22.419949995909686	test_MadAE:14.14554214477539	test_MRE:0.5515815019607544	test_RMSE:30.48214340209961	test_R^2:0.5594706535339355
epoch:74	train_MAE:21.284326825189062	test_MAE:22.817063256708114	test_MadAE:14.649734497070312	test_MRE:0.573438823223114	test_RMSE:30.77821159362793	test_R^2:0.5508714914321899
epoch:75	train_MAE:21.201275269051774	test_MAE:22.238035831151834	test_MadAE:14.276991844177246	test_MRE:0.5552576780319214	test_RMSE:30.323219299316406	test_R^2:0.5640522241592407
epoch:76	train_MAE:20.97756462696335	test_MAE:22.53980898232984	test_MadAE:14.76422119140625	test_MRE:0.5637372136116028	test_RMSE:30.515663146972656	test_R^2:0.5585012435913086
epoch:77	train_MAE:22.499713678010473	test_MAE:22.81363250572644	test_MadAE:14.37173843383789	test_MRE:0.4855770766735077	test_RMSE:31.599998474121094	test_R^2:0.5265676975250244
epoch:78	train_MAE:20.93939517888307	test_MAE:22.20754509571335	test_MadAE:13.70428466796875	test_MRE:0.5498031973838806	test_RMSE:30.392501831054688	test_R^2:0.5620579719543457
epoch:79	train_MAE:20.768954061227458	test_MAE:21.99606818553665	test_MadAE:13.814712524414062	test_MRE:0.5421152710914612	test_RMSE:30.140357971191406	test_R^2:0.5692943334579468
epoch:80	train_MAE:20.70920138888889	test_MAE:21.85618966786649	test_MadAE:13.85479736328125	test_MRE:0.529850959777832	test_RMSE:29.94013214111328	test_R^2:0.5749979019165039
epoch:81	train_MAE:21.25238147178592	test_MAE:22.55158141770288	test_MadAE:15.646478652954102	test_MRE:0.5765544772148132	test_RMSE:30.28300666809082	test_R^2:0.565207839012146
epoch:82	train_MAE:20.970145251599767	test_MAE:22.070762434554975	test_MadAE:13.811859130859375	test_MRE:0.5674507021903992	test_RMSE:29.567615509033203	test_R^2:0.585507869720459
epoch:83	train_MAE:20.862947207678882	test_MAE:22.13622535585733	test_MadAE:15.097091674804688	test_MRE:0.5225759148597717	test_RMSE:30.3142147064209	test_R^2:0.5643112659454346
epoch:84	train_MAE:20.561920538830716	test_MAE:21.488291475785342	test_MadAE:13.104436874389648	test_MRE:0.5120652914047241	test_RMSE:29.602333068847656	test_R^2:0.5845338106155396
epoch:85	train_MAE:20.522619437172775	test_MAE:21.803892445189792	test_MadAE:13.439599990844727	test_MRE:0.5138747096061707	test_RMSE:30.253225326538086	test_R^2:0.5660625696182251
epoch:86	train_MAE:20.521630944589877	test_MAE:21.312451427519633	test_MadAE:12.585508346557617	test_MRE:0.5055771470069885	test_RMSE:29.6561222076416	test_R^2:0.5830227136611938
epoch:87	train_MAE:20.850912594531703	test_MAE:21.777261943717278	test_MadAE:12.48861312866211	test_MRE:0.5008683800697327	test_RMSE:30.17055320739746	test_R^2:0.5684309005737305
epoch:88	train_MAE:21.292716513961604	test_MAE:22.737675372218586	test_MadAE:14.070234298706055	test_MRE:0.6204005479812622	test_RMSE:30.19792366027832	test_R^2:0.5676475763320923
epoch:89	train_MAE:20.192890125072715	test_MAE:21.390902374427355	test_MadAE:12.788143157958984	test_MRE:0.5159951448440552	test_RMSE:29.57217025756836	test_R^2:0.5853800773620605
epoch:90	train_MAE:20.207908395142525	test_MAE:21.5481429973822	test_MadAE:13.670478820800781	test_MRE:0.5224302411079407	test_RMSE:29.50082015991211	test_R^2:0.5873785018920898
epoch:91	train_MAE:19.99408267888307	test_MAE:21.377812090968586	test_MadAE:12.680975914001465	test_MRE:0.5189955830574036	test_RMSE:29.385841369628906	test_R^2:0.5905885100364685
epoch:92	train_MAE:21.355380126527052	test_MAE:22.822585180791886	test_MadAE:16.395719528198242	test_MRE:0.6459201574325562	test_RMSE:30.136695861816406	test_R^2:0.5693988800048828
epoch:93	train_MAE:20.09875836242001	test_MAE:21.2360366901178	test_MadAE:13.306236267089844	test_MRE:0.5341352820396423	test_RMSE:29.13588523864746	test_R^2:0.5975238680839539
epoch:94	train_MAE:21.093795447934845	test_MAE:22.044548633835078	test_MadAE:14.333564758300781	test_MRE:0.5585008263587952	test_RMSE:30.032238006591797	test_R^2:0.5723787546157837
epoch:95	train_MAE:20.35389397905759	test_MAE:21.08876237320026	test_MadAE:12.11161994934082	test_MRE:0.4976442754268646	test_RMSE:29.2420597076416	test_R^2:0.5945851802825928
epoch:96	train_MAE:20.466434427719605	test_MAE:21.88016402159686	test_MadAE:14.44430923461914	test_MRE:0.5771315693855286	test_RMSE:29.35675811767578	test_R^2:0.5913983583450317
epoch:97	train_MAE:20.4920693353694	test_MAE:22.249243291884817	test_MadAE:14.511184692382812	test_MRE:0.5468308925628662	test_RMSE:30.197912216186523	test_R^2:0.5676478743553162
epoch:98	train_MAE:19.874859111401978	test_MAE:20.908033121318716	test_MadAE:12.520706176757812	test_MRE:0.4942057430744171	test_RMSE:29.121726989746094	test_R^2:0.59791499376297
epoch:99	train_MAE:19.7904486620128	test_MAE:21.1158210794339	test_MadAE:13.251327514648438	test_MRE:0.52817702293396	test_RMSE:29.03327178955078	test_R^2:0.6003538370132446
epoch:100	train_MAE:20.161331079115765	test_MAE:21.48995316590314	test_MadAE:14.520706176757812	test_MRE:0.5574201941490173	test_RMSE:29.16742515563965	test_R^2:0.5966519117355347
epoch:101	train_MAE:19.84381135471204	test_MAE:20.904161383344242	test_MadAE:12.01528263092041	test_MRE:0.5049088597297668	test_RMSE:29.050201416015625	test_R^2:0.5998875498771667
epoch:102	train_MAE:20.564379272105874	test_MAE:20.954559166393977	test_MadAE:11.802475929260254	test_MRE:0.45482656359672546	test_RMSE:29.735172271728516	test_R^2:0.5807967185974121
epoch:103	train_MAE:19.881260453025014	test_MAE:21.111155564872384	test_MadAE:12.6397705078125	test_MRE:0.5372545719146729	test_RMSE:28.945049285888672	test_R^2:0.6027790307998657
epoch:104	train_MAE:19.666812100058173	test_MAE:20.559572868946336	test_MadAE:12.71710205078125	test_MRE:0.48220309615135193	test_RMSE:28.827396392822266	test_R^2:0.6060013771057129
epoch:105	train_MAE:19.5785226694299	test_MAE:20.568685321907722	test_MadAE:12.204504013061523	test_MRE:0.5128529071807861	test_RMSE:28.525177001953125	test_R^2:0.6142193675041199
epoch:106	train_MAE:20.396021942262944	test_MAE:21.29923332174411	test_MadAE:14.425399780273438	test_MRE:0.5418270230293274	test_RMSE:28.787012100219727	test_R^2:0.6071046590805054
epoch:107	train_MAE:20.719922556719023	test_MAE:20.916107657068064	test_MadAE:11.607553482055664	test_MRE:0.4718300402164459	test_RMSE:29.886611938476562	test_R^2:0.5765159726142883
epoch:108	train_MAE:20.507471640488657	test_MAE:21.096637506135473	test_MadAE:12.395515441894531	test_MRE:0.44940799474716187	test_RMSE:29.828990936279297	test_R^2:0.5781471133232117
epoch:109	train_MAE:19.609311372891217	test_MAE:21.00660330088351	test_MadAE:13.401432037353516	test_MRE:0.5397414565086365	test_RMSE:28.785192489624023	test_R^2:0.6071541905403137
epoch:110	train_MAE:19.419084496800465	test_MAE:20.419827286485603	test_MadAE:12.53409194946289	test_MRE:0.5231298804283142	test_RMSE:28.43971824645996	test_R^2:0.6165274381637573
